Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2017-08-22,2017-08-24,2002,CHICK-FIL-A #00527,Dining,28.86,
2017-08-22,2017-08-23,2002,MACYS  NW AUSTIN-LKLNE,Merchandise,41.68,
2017-08-21,2017-08-22,2002,FSI*ATMOS ENERGY,Utilities,35.16,
2017-08-20,2017-08-21,2002,AT&T*BILL PAYMENT,Phone/Cable,70.01,
2017-08-20,2017-08-21,2002,TXTAG 888 468 9824,Gas/Automotive,20,
2017-08-20,2017-08-21,2002,DONUT TACO PALACE OF R,Dining,18.67,
2017-08-20,2017-08-21,2002,NETFLIX.COM,Phone/Cable,26.54,
2017-08-19,2017-08-21,2002,CARTER'S #330,Merchandise,,10.95
2017-08-19,2017-08-21,2002,OLD NAVY US 5898,Merchandise,10.81,
2017-08-19,2017-08-21,2002,KID TO KID - AUSTIN,Merchandise,7.56,
2017-08-19,2017-08-21,2002,THERESA DAMRONS HAIR S,Other Services,95,
2017-08-19,2017-08-21,2002,ACADEMY SPORTS #27,Merchandise,37.88,
2017-08-18,2017-08-21,7123,HANABI,Dining,63.5,
2017-08-18,2017-08-19,2002,BRUSHY CREEK MUNICIPAL,Utilities,75.97,
2017-08-18,2017-08-19,7123,LA MADELEINE #1026,Dining,14.25,
2017-08-18,2017-08-18,2002,CAPITAL ONE ONLINE PYMT,Payment/Credit,,3102.49
2017-08-17,2017-08-19,7123,COA PARKING METERS,Gas/Automotive,3,
2017-08-17,2017-08-17,2002,"HOP N HAPPY, INC.",Entertainment,16.78,
2017-08-16,2017-08-17,2002,CAPITOL CITY COMEDY CL,Dining,26.38,
2017-08-15,2017-08-17,2002,MENCHIE`S FROZEN YOGUR,Dining,6.02,
2017-08-15,2017-08-16,2002,"carters, Inc.",Merchandise,39.55,
2017-08-15,2017-08-16,2002,HEB TO U,Merchandise,133.11,
2017-08-14,2017-08-16,7123,7-ELEVEN 36977,Gas/Automotive,39,
2017-08-14,2017-08-16,2002,ASCP,Other,95,
2017-08-14,2017-08-16,2002,MCDONALD'S F6565,Dining,12.42,
2017-08-14,2017-08-15,2002,"JANE, LLC",Merchandise,19.98,
2017-08-14,2017-08-15,2002,JCPENNEY.COM,Merchandise,39.86,
2017-08-13,2017-08-15,2002,OLD NAVY ON-LINE,Merchandise,16,
2017-08-10,2017-08-11,2002,TONY CS ITALIAN KITCHE,Dining,38.29,
2017-08-09,2017-08-10,2002,BESTBUYCOM804000034964,Merchandise,15.93,
2017-08-09,2017-08-10,7123,ROADTECH MFG COMPANY,Merchandise,3438.32,
2017-08-09,2017-08-10,2002,HEB TO U,Merchandise,210.19,
2017-08-08,2017-08-10,2002,GAP OUTLET.COM 2679,Merchandise,56.64,
2017-08-08,2017-08-09,7123,PAPA MURPHY'S TX082,Dining,15.41,
2017-08-07,2017-08-09,7123,7-ELEVEN 36977,Gas/Automotive,24.93,
2017-08-07,2017-08-09,7123,COA PARKING METERS,Gas/Automotive,2.1,
2017-08-07,2017-08-07,7123,DAIRY QUEEN #43712 QPS,Dining,7.42,
2017-08-06,2017-08-07,2002,ZAP*ZAPPOS.COM,Merchandise,,63.7
2017-08-06,2017-08-07,2002,ZAP*ZAPPOS.COM,Merchandise,,74.38
2017-08-06,2017-08-07,2002,TWC*TIME WARNER CABLE,Phone/Cable,138.55,
2017-08-04,2017-08-07,2002,FREDDYS FROZEN CUSTARD,Dining,6.37,
2017-08-04,2017-08-05,7123,MEETUP,Other,59.94,
2017-08-02,2017-08-04,7123,SHELL OIL 57545449704,Gas/Automotive,32.05,
2017-08-02,2017-08-03,2002,HEB GAS/CARWASH #373,Gas/Automotive,27.11,
2017-08-02,2017-08-03,2002,HEB  #373,Merchandise,149.82,
2017-07-31,2017-08-02,7123,COA PARKING METERS,Gas/Automotive,2.7,
2017-07-30,2017-08-01,2002,MCDONALD'S F6565,Dining,14.47,
2017-07-30,2017-07-31,2002,AMAZON.COM AMZN.COM/BI,Merchandise,22.57,
2017-07-30,2017-07-31,2002,TUESDAY MORNING # 0333,Merchandise,7.57,
2017-07-29,2017-07-31,2002,ZAP*ZAPPOS.COM,Merchandise,50.99,
2017-07-28,2017-07-29,2002,ZAP*ZAPPOS.COM,Merchandise,63.7,
2017-07-28,2017-07-29,2002,WWW COSTCO COM,Merchandise,41.43,
2017-07-27,2017-07-29,7123,SHELL OIL 57545449704,Gas/Automotive,35.92,
2017-07-27,2017-07-28,2002,HEB  #373,Merchandise,20,
2017-07-27,2017-07-28,2002,HEB  #373,Merchandise,97.82,
2017-07-26,2017-07-28,7123,MUANGTHAI THAI CUISINE,Dining,26.9,
2017-07-26,2017-07-26,2002,AMAZON MKTPLACE PMTS,Merchandise,26.45,
2017-07-25,2017-07-25,2002,DISCOUNT POWER,Utilities,151.24,
2017-07-24,2017-07-25,2002,HEB  #373,Merchandise,50.97,
2017-07-22,2017-07-24,7123,HOPDODDY BURGER BA,Dining,39.1,
2017-07-22,2017-07-24,2002,FSI*ATMOS ENERGY,Utilities,37.08,
2017-07-21,2017-07-24,2002,OLD NAVY ON-LINE,Merchandise,66.18,
2017-07-21,2017-07-22,2002,TXTAG 888 468 9824,Gas/Automotive,20,
2017-07-21,2017-07-22,2002,BRUSHY CREEK MUNICIPAL,Utilities,75.97,
2017-07-21,2017-07-21,2002,NETFLIX.COM,Phone/Cable,26.54,
2017-07-20,2017-07-21,2002,AT&T*BILL PAYMENT,Phone/Cable,70.01,
2017-07-20,2017-07-21,2002,HEB  #373,Merchandise,216.09,
2017-07-20,2017-07-21,7123,ROOSTERS MENS GROOMING,Other Services,27,
2017-07-20,2017-07-21,2002,EXXONMOBIL    46917621,Gas/Automotive,20,
2017-07-20,2017-07-21,2002,ZAP*ZAPPOS.COM,Merchandise,,216.65
2017-07-19,2017-07-21,2002,HOBBY-LOBBY #0052,Merchandise,,15.11
2017-07-19,2017-07-21,2002,HOBBY-LOBBY #0052,Merchandise,70.29,
2017-07-19,2017-07-20,2002,WAL-MART #4163,Merchandise,50.48,
2017-07-18,2017-07-20,2002,PDQ #302,Dining,16.74,
2017-07-18,2017-07-19,2002,AT HOME STORE #97,Merchandise,40.01,
2017-07-17,2017-07-19,7123,COA PARKING METERS,Gas/Automotive,4.8,
2017-07-17,2017-07-19,7123,7-ELEVEN 36977,Gas/Automotive,37.18,
2017-07-17,2017-07-18,2002,WHOLEFDS CDP #10665,Merchandise,13.72,
2017-07-17,2017-07-18,7123,STAPLES       00119131,Merchandise,131.48,
2017-07-17,2017-07-18,2002,LOWES #02774*,Merchandise,49.91,
2017-07-16,2017-07-17,2002,ZAP*ZAPPOS.COM,Merchandise,63.7,
2017-07-14,2017-07-17,7123,FIRE IN THE HOLE,Dining,37.94,
2017-07-14,2017-07-17,7123,COA PARKING METERS,Gas/Automotive,2,
2017-07-14,2017-07-15,7123,SQU*SQ *3 STAR CANDY S,Merchandise,18.64,
2017-07-14,2017-07-15,7123,SQU*SQ *PUEBLO VIEJO,Dining,94.24,
2017-07-14,2017-07-15,2002,TXTAG 888 468 9824,Gas/Automotive,20,
2017-07-14,2017-07-15,2002,AMAZON MKTPLACE PMTS,Merchandise,,31.95
2017-07-13,2017-07-15,2002,7-ELEVEN 36977,Gas/Automotive,22.53,
2017-07-13,2017-07-14,2002,HEB  #373,Merchandise,180.88,
2017-07-11,2017-07-13,2002,MCDONALD'S F6565,Dining,11.55,
2017-07-11,2017-07-13,2002,HOBBY-LOBBY #0052,Merchandise,50.52,
2017-07-10,2017-07-12,7123,SHELL OIL 57545449704,Gas/Automotive,38.44,
2017-07-10,2017-07-12,7123,COA PARKING METERS,Gas/Automotive,2.7,
2017-07-10,2017-07-11,2002,BRUSHY CREEK MUNICIPAL,Utilities,80,
2017-07-10,2017-07-10,2002,TARGET.COM  *,Merchandise,19.8,
2017-07-09,2017-07-11,2002,JAMBA JUICE AT NORTQ30,Dining,5.83,
2017-07-09,2017-07-10,2002,TARGET        00024091,Merchandise,6.5,
2017-07-09,2017-07-10,2002,ARBORETUM NAILS AN,Other Services,70,
2017-07-07,2017-07-08,2002,DELL DIAMOND - RYAN SA,Dining,5,
